IDtag,initialLeaves,TopographicLocation,CollectionGroup,DateDeployed,DateCollected,retrieved_driedLeaves,mass_change,ashed_ratio,corrected_intialLeaves,corrected_retrieved_driedLeaves,corrected_mass_change,percent_remaining,ID
13,5.15,upper slope,Month 1,2016.07.13,2016.08.07,4.28,0.87,0.061290649,4.63721362,4.017676021,0.6195376,86.63987363,2
14,5.57,upper slope,Month 1,2016.07.13,2016.08.07,4.27,1.3,0.084024267,5.015394149,3.91121638,1.104177768,77.98422745,2
15,5.72,upper slope,Month 1,2016.07.13,2016.08.07,4.69,1.03,0.095204009,5.150458623,4.2434932,0.906965423,82.39058908,2
16,5.62,upper slope,Month 1,2016.07.13,2016.08.07,4.63,0.99,0.106835443,5.06041564,4.135351899,0.925063741,81.71960947,2
17,5.91,upper slope,Month 1,2016.07.13,2016.08.07,5.33,0.58,0.10030491,5.321540291,4.795374829,0.526165461,90.11253448,2
18,5.76,upper slope,Month 1,2016.07.13,2016.08.07,5.37,0.39,0.142563681,5.186475816,4.604433032,0.582042784,88.77768248,2
25,5.35,upper slope,Month 3,2016.07.13,2016.10.11,3.46,1.89,0.142567431,4.817299586,2.96671669,1.850582896,61.58464171,2
26,5.3,upper slope,Month 3,2016.07.13,2016.10.11,3.65,1.65,0.182005778,4.772278095,2.98567891,1.786599184,62.56296995,2
27,5.64,upper slope,Month 3,2016.07.13,2016.10.11,3.71,1.93,0.170495406,5.078424237,3.077462046,2.000962191,60.59875863,2
28,5.48,upper slope,Month 3,2016.07.13,2016.10.11,3.63,1.85,0.125026692,4.934355464,3.176153107,1.758202357,64.36814555,2
29,6.29,upper slope,Month 3,2016.07.13,2016.10.11,4.35,1.94,0.122605364,5.663703626,3.816666667,1.847036959,67.38817775,2
30,5.79,upper slope,Month 3,2016.07.13,2016.10.11,3.98,1.81,0.181180657,5.213488711,3.258900984,1.954587727,62.50902542,2
43,5.53,upper slope,Month 5,2016.07.13,2016.12.09,4.26,1.27,0.322829061,4.979376955,2.884748201,2.094628754,57.93391879,2
44,5.43,upper slope,Month 5,2016.07.13,2016.12.09,4.06,1.37,0.271352223,4.889333972,2.958309973,1.931024,60.50537741,2
45,5.11,upper slope,Month 5,2016.07.13,2016.12.09,4.78,0.33,0.37251486,4.601196427,2.999378971,1.601817456,65.18693602,2
46,5.27,upper slope,Month 5,2016.07.13,2016.12.09,5.79,-0.52,0.538506589,4.7452652,2.672046852,2.073218348,56.3097475,2
47,5.26,upper slope,Month 5,2016.07.13,2016.12.09,3.1,2.16,0.264663062,4.736260902,2.279544509,2.456716392,48.12962285,2
48,5.59,upper slope,Month 5,2016.07.13,2016.12.09,3.84,1.75,0.205731006,5.033402745,3.049992937,1.983409808,60.59505054,2
55,5.46,lower slope,Month 5,2016.07.13,2016.12.09,3.07,2.39,0.142871933,4.916346867,2.631383166,2.284963701,53.52313897,3
56,5.62,lower slope,Month 5,2016.07.13,2016.12.09,3.49,2.13,0.126872708,5.06041564,3.047214248,2.013201392,60.21667912,3
57,5.21,lower slope,Month 5,2016.07.13,2016.12.09,3.27,1.94,0.272374357,4.69123941,2.379335851,2.311903559,50.71870445,3
58,5.33,lower slope,Month 5,2016.07.13,2016.12.09,2.89,2.44,0.178054043,4.79929099,2.375423816,2.423867174,49.49530714,3
59,5.33,lower slope,Month 5,2016.07.13,2016.12.09,3.3,2.03,0.197815534,4.79929099,2.647208738,2.152082252,55.1583295,3
60,5.28,lower slope,Month 5,2016.07.13,2016.12.09,3.15,2.13,0.175362319,4.754269498,2.597608696,2.156660802,54.63738849,3
61,5.89,lower slope,Month 1,2016.07.13,2016.08.07,4.73,1.16,0.163348275,5.303531694,3.95736266,1.346169034,74.61749809,3
62,5.32,lower slope,Month 1,2016.07.13,2016.08.07,4.25,1.07,0.116802674,4.790286691,3.753588634,1.036698057,78.3583296,3
63,5.09,lower slope,Month 1,2016.07.13,2016.08.07,4.2,0.89,0.079462612,4.583187831,3.86625703,0.716930801,84.35737685,3
64,5.31,lower slope,Month 1,2016.07.13,2016.08.07,4.08,1.23,0.088585018,4.781282393,3.718573127,1.062709266,77.77355156,3
65,5.16,lower slope,Month 1,2016.07.13,2016.08.07,3.97,1.19,0.134062788,4.646217919,3.437770733,1.208447185,73.99073383,3
66,5.31,lower slope,Month 1,2016.07.13,2016.08.07,4.43,0.88,0.220365212,4.781282393,3.453782111,1.327500282,72.23547632,3
73,5.33,lower slope,Month 3,2016.07.13,2016.10.11,3.47,1.86,0.136556141,4.79929099,2.996150191,1.803140798,62.42901707,3
74,5.26,lower slope,Month 3,2016.07.13,2016.10.11,3.48,1.78,0.120797661,4.736260902,3.059624139,1.676636763,64.59999148,3
75,5.52,lower slope,Month 3,2016.07.13,2016.10.11,3.99,1.53,0.128087066,4.970372657,3.478932608,1.491440049,69.99339582,3
76,5.46,lower slope,Month 3,2016.07.13,2016.10.11,3.73,1.73,0.135981505,4.916346867,3.222788987,1.69355788,65.55251438,3
77,5.13,lower slope,Month 3,2016.07.13,2016.10.11,3.18,1.95,0.136919569,4.619205024,2.744595771,1.874609253,59.41705893,3
78,5.66,lower slope,Month 3,2016.07.13,2016.10.11,3.4,2.26,0.125964546,5.096432833,2.971720542,2.124712291,58.30981472,3
97,5.29,ridge,Month 1,2016.07.13,2016.08.07,4.41,0.88,0.142659868,4.763273796,3.780869981,0.982403816,79.37544938,1
98,5.21,ridge,Month 1,2016.07.13,2016.08.07,4.05,1.16,0.128409212,4.69123941,3.529942693,1.161296717,75.24541779,1
99,5.22,ridge,Month 1,2016.07.13,2016.08.07,3.99,1.23,0.118057022,4.700243708,3.518952482,1.181291227,74.8674473,1
100,5.53,ridge,Month 1,2016.07.13,2016.08.07,4.01,1.52,0.130425577,4.979376955,3.486993436,1.492383519,70.02870977,1
101,5.09,ridge,Month 1,2016.07.13,2016.08.07,4.19,0.9,0.144038522,4.583187831,3.586478593,0.996709237,78.25292625,1
102,5.35,ridge,Month 1,2016.07.13,2016.08.07,5.82,-0.47,0.296278939,4.817299586,4.095656575,0.721643011,85.01976059,1
103,5.5,ridge,Month 3,2016.07.13,2016.10.11,4.21,1.29,0.230541369,4.952364061,3.239420838,1.712943223,65.41160541,1
104,5.43,ridge,Month 3,2016.07.13,2016.10.11,3.61,1.82,0.138874758,4.889333972,3.108662122,1.78067185,63.58048233,1
105,5.38,ridge,Month 3,2016.07.13,2016.10.11,3.42,1.96,0.089439541,4.844312481,3.114116771,1.73019571,64.28397803,1
106,5.06,ridge,Month 3,2016.07.13,2016.10.11,3.26,1.8,0.170214997,4.556174936,2.705099109,1.851075827,59.37215201,1
107,5.22,ridge,Month 3,2016.07.13,2016.10.11,3.43,1.79,0.132223618,4.700243708,2.97647299,1.723770718,63.32592892,1
108,5.38,ridge,Month 3,2016.07.13,2016.10.11,3.44,1.94,0.155080771,4.844312481,2.906522147,1.937790334,59.99865117,1
121,5.15,ridge,Month 5,2016.07.13,2016.12.09,3.36,1.79,0.257610037,4.63721362,2.494430276,2.142783345,53.79157571,1
122,5.22,ridge,Month 5,2016.07.13,2016.12.09,2.88,2.34,0.189603365,4.700243708,2.333942308,2.366301401,49.65577218,1
123,5.55,ridge,Month 5,2016.07.13,2016.12.09,3.79,1.76,0.276495525,4.997385552,2.742081959,2.255303593,54.87033031,1
124,5.34,ridge,Month 5,2016.07.13,2016.12.09,3.79,1.55,0.277788904,4.808295288,2.737180052,2.071115236,56.92620541,1
125,5.4,ridge,Month 5,2016.07.13,2016.12.09,3.84,1.56,0.278243663,4.862321078,2.771544332,2.090776745,57.00043844,1
126,5.29,ridge,Month 5,2016.07.13,2016.12.09,3.96,1.33,0.336704764,4.763273796,2.626649135,2.136624661,55.14377816,1
145,5.32,valley,Month 5,2016.07.13,2016.12.09,5.88,-0.56,0.47169999,4.790286691,3.106404058,1.683882633,64.84797797,4
146,5.5,valley,Month 5,2016.07.13,2016.12.09,7.22,-1.72,0.555823778,4.952364061,3.206952323,1.745411737,64.75598894,4
147,5.3,valley,Month 5,2016.07.13,2016.12.09,5.38,-0.08,0.42964773,4.772278095,3.068495215,1.70378288,64.29833203,4
148,5.12,valley,Month 5,2016.07.13,2016.12.09,7.5,-2.38,0.592022117,4.610200725,3.059834123,1.550366602,66.37095227,4
149,5.18,valley,Month 5,2016.07.13,2016.12.09,4.31,0.87,0.367644145,4.664226515,2.725453735,1.93877278,58.43313411,4
150,5.06,valley,Month 5,2016.07.13,2016.12.09,2.8,2.26,0.152411511,4.556174936,2.373247769,2.182927167,52.08860069,4
151,5.42,valley,Month 1,2016.07.13,2016.08.07,4.87,0.55,0.159740126,4.880329674,4.092065587,0.788264087,83.84813856,4
152,5.26,valley,Month 1,2016.07.13,2016.08.07,4.46,0.8,0.141186387,4.736260902,3.830308714,0.905952188,80.87199572,4
153,5.42,valley,Month 1,2016.07.13,2016.08.07,4.71,0.71,0.235407573,4.880329674,3.601230332,1.279099342,73.7907185,4
154,5.32,valley,Month 1,2016.07.13,2016.08.07,4.43,0.89,0.201322557,4.790286691,3.538141073,1.252145619,73.86073738,4
155,5.22,valley,Month 1,2016.07.13,2016.08.07,3.87,1.35,0.150442478,4.700243708,3.287787611,1.412456098,69.94930082,4
156,5.46,valley,Month 1,2016.07.13,2016.08.07,4.12,1.34,0.144500209,4.916346867,3.524659138,1.391687729,71.69264565,4
157,5.37,valley,Month 3,2016.07.13,2016.10.11,9.54,-4.17,0.560840595,4.835308183,4.189580728,0.645727455,86.6455781,4
158,5.38,valley,Month 3,2016.07.13,2016.10.11,4.14,1.24,0.224984527,4.844312481,3.20856406,1.635748421,66.23363115,4
159,5.29,valley,Month 3,2016.07.13,2016.10.11,4.76,0.53,0.306183575,4.763273796,3.302566184,1.460707613,69.33395653,4
160,5.15,valley,Month 3,2016.07.13,2016.10.11,4.74,0.41,0.379181791,4.63721362,2.942678309,1.694535312,63.45789842,4
161,5.28,valley,Month 3,2016.07.13,2016.10.11,3.26,2.02,0.199650996,4.754269498,2.609137754,2.145131744,54.87988754,4
162,5.36,valley,Month 3,2016.07.13,2016.10.11,3.75,1.61,0.200796479,4.826303884,2.997013205,1.82929068,62.09748239,4
193,5.25,upper slope,Month 0,2016.07.13,2016.07.13,5.21,,0.118895074,4.625800861,4.590556664,0.035244197,99.23809524,2
194,5.42,upper slope,Month 0,2016.07.13,2016.07.13,5.39,,0.101417228,4.870318625,4.843361142,0.026957483,99.44649446,2
