SiteName,Site#_JS,Site#_CER,Plot#_JS,Habitat,TagID,Species,Set#,BagLocation,InitialWt_Air,SpConvFactor,InitialDeploy_Date,InitialWt_Oven,InitialNotes,HarvestNo,Harvest_Date,HarvestWt_Oven,HarvestNotes,PropInitMass,Days,Years,SitexHabitatxSp,ID_sihasp,ID
Mari Hill,8,10,19&20,dry,7833,AMY,5,12,3.029,0.956650246,11/30/10,2.898,,1,4/29/11,2.227,,0.768542265,150,0.410958904,10dryAMY,1,1
Mari Hill,8,10,19&20,dry,7838,AMY,5,12,3.07,0.956650246,11/30/10,2.937,,2,5/26/11,2.1035,,0.716227436,177,0.484931507,10dryAMY,1,1
Mari Hill,8,10,19&20,dry,7837,AMY,5,12,3.029,0.956650246,11/30/10,2.898,,3,8/1/11,1.67,,0.576320423,244,0.668493151,10dryAMY,1,1
Mari Hill,8,10,19&20,dry,7834,AMY,5,12,3.025,0.956650246,11/30/10,2.894,,4,9/27/11,0.925,,0.319641504,301,0.824657534,10dryAMY,1,1
Mari Hill,8,10,19&20,dry,7836,AMY,5,12,3.002,0.956650246,11/30/10,2.872,,5,9/30/12,0.928,,0.323135074,670,1.835616438,10dryAMY,1,1
Mari Hill,8,10,19&20,dry,7835,AMY,5,12,3.039,0.956650246,11/30/10,2.907,,6,9/20/13,1.072,,0.368732058,1025,2.808219178,10dryAMY,1,1
S Peterson Marsh,1,1,1&2,dry,7863,AMY,10,7,3.08,0.956650246,11/27/10,2.946,,1,4/29/11,2.1715,,0.736980386,153,0.419178082,1dryAMY,2,1
S Peterson Marsh,1,1,1&2,dry,7868,AMY,10,7,3.073,0.956650246,11/27/10,2.94,,2,5/26/11,1.9562,,0.665422538,180,0.493150685,1dryAMY,2,1
S Peterson Marsh,1,1,1&2,dry,7864,AMY,10,7,3.055,0.956650246,11/27/10,2.923,,3,8/3/11,1.678,,0.574152889,249,0.682191781,1dryAMY,2,1
S Peterson Marsh,1,1,1&2,dry,7867,AMY,10,7,3.036,0.956650246,11/27/10,2.904,,4,9/27/11,1.637,,0.563629511,304,0.832876712,1dryAMY,2,1
S Peterson Marsh,1,1,1&2,dry,7865,AMY,10,7,3.079,0.956650246,11/27/10,2.946,,5,10/2/12,1.725,,0.58563392,675,1.849315068,1dryAMY,2,1
S Peterson Marsh,1,1,1&2,dry,7866,AMY,10,7,3.053,0.956650246,11/27/10,2.921,,6,9/20/13,1.469,"sand present, tried to remove",0.502969678,1028,2.816438356,1dryAMY,2,1
Cattle Pond,2,2,3&4,dry,7832,AMY,4,9,3.07,0.956650246,11/27/10,2.937,,1,4/29/11,2.1204,,0.721981771,153,0.419178082,2dryAMY,3,1
Cattle Pond,2,2,3&4,dry,7827,AMY,4,9,3.028,0.956650246,11/27/10,2.897,,2,5/26/11,1.9363,,0.66844178,180,0.493150685,2dryAMY,3,1
Cattle Pond,2,2,3&4,dry,7828,AMY,4,9,3.027,0.956650246,11/27/10,2.896,,3,8/3/11,1.809,,0.624702089,249,0.682191781,2dryAMY,3,1
Cattle Pond,2,2,3&4,dry,7831,AMY,4,9,3.037,0.956650246,11/27/10,2.905,,4,9/27/11,1.679,,0.577900029,304,0.832876712,2dryAMY,3,1
Cattle Pond,2,2,3&4,dry,7830,AMY,4,9,3.053,0.956650246,11/27/10,2.921,,5,10/2/12,1.485,,0.508447904,675,1.849315068,2dryAMY,3,1
Cattle Pond,2,2,3&4,dry,7829,AMY,4,9,3.006,0.956650246,11/27/10,2.876,,6,9/20/13,1.432,,0.497967333,1028,2.816438356,2dryAMY,3,1
N Peterson Marsh,3,3,5&6,dry,7856,AMY,8,12,3.078,0.956650246,11/27/10,2.945,,1,4/29/11,2.011,,0.682952136,153,0.419178082,3dryAMY,4,1
N Peterson Marsh,3,3,5&6,dry,7851,AMY,8,12,3.009,0.956650246,11/27/10,2.879,,2,5/26/11,1.7883,,0.621247996,180,0.493150685,3dryAMY,4,1
N Peterson Marsh,3,3,5&6,dry,7855,AMY,8,12,3.053,0.956650246,11/27/10,2.921,,3,8/3/11,1.649,,0.564599727,249,0.682191781,3dryAMY,4,1
N Peterson Marsh,3,3,5&6,dry,7853,AMY,8,12,3.051,0.956650246,11/27/10,2.919,,4,9/27/11,1.687,,0.577989152,304,0.832876712,3dryAMY,4,1
N Peterson Marsh,3,3,5&6,dry,7854,AMY,8,12,3.013,0.956650246,11/27/10,2.882,,5,10/2/12,1.35,,0.468361781,675,1.849315068,3dryAMY,4,1
N Peterson Marsh,3,3,5&6,dry,7852,AMY,8,12,3.065,0.956650246,11/27/10,2.932,,6,9/20/13,1.388,,0.473375525,1028,2.816438356,3dryAMY,4,1
N Peterson Marsh,3,4,7&8,dry,7869,AMY,11,6,3.054,0.956650246,11/27/10,2.922,extra set,1,4/29/11,2.1458,,0.734458093,153,0.419178082,4dryAMY,5,1
N Peterson Marsh,3,4,7&8,dry,7874,AMY,11,6,3.027,0.956650246,11/27/10,2.896,extra set,2,5/26/11,1.9506,,0.673600826,180,0.493150685,4dryAMY,5,1
N Peterson Marsh,3,4,7&8,dry,7870,AMY,11,6,3.007,0.956650246,11/27/10,2.877,extra set,3,8/3/11,1.704,,0.592356249,249,0.682191781,4dryAMY,5,1
N Peterson Marsh,3,4,7&8,dry,7873,AMY,11,6,3.081,0.956650246,11/27/10,2.947,extra set,4,9/27/11,1.644,,0.55777228,304,0.832876712,4dryAMY,5,1
N Peterson Marsh,3,4,7&8,dry,7871,AMY,11,6,3.012,0.956650246,11/27/10,2.881,extra set,5,10/2/12,1.489,,0.516757207,675,1.849315068,4dryAMY,5,1
